"id","name","created","modified"
"107","! Outside Events","",""
"105","2D E-drawing","",""
"27","3D Modeling","",""
"25","3D Printing","",""
"72","Amateur Radio","",""
"106","Animatronics","",""
"95","Arduino","",""
"71","Automotive","",""
"69","Blacksmithing","",""
"101","Board of Directors","",""
"104","CAD","",""
"20","Ceramics","",""
"85","Committee Meetings","",""
"87","Costuming","",""
"108","Creative Arts","",""
"83","Digital Media","",""
"84","DMS Business Meetings","",""
"13","Drawing/Painting","",""
"61","Drones/RC Planes","",""
"8","Dye Sublimation","",""
"98","Education","",""
"67","Electronics/Microcontrollers","",""
"79","Engraving","",""
"94","Expansion","",""
"3","Fiber Arts","",""
"77","Finance","",""
"82","Glass Working","",""
"65","Graphic Design Software ","",""
"74","Information Technology","",""
"70","Jewelry ","",""
"88","Lapidary","",""
"45","Laser","",""
"4","Leatherworking","",""
"76","Logistics","",""
"38","Machining","",""
"93","Marketing","",""
"100","Member Services","",""
"66","Metalworking","",""
"6","Mold Making","",""
"89","Motorsports","",""
"29","Photography/Videography/Audiography","",""
"102","Plastics (P-IG)","",""
"81","Printmaking","",""
"68","Programming/Software Development","",""
"90","Public Relations","",""
"96","Raspberry Pi","",""
"31","Reloading","",""
"97","Resin","",""
"17","Robotics","",""
"73","Science","",""
"11","Sculpting","",""
"75","Sewing","",""
"10","Silk Screening","",""
"86","Small Metals","",""
"80","Training Development SIG","",""
"47","VECTOR","",""
"78","Vintage Computers","",""
"7","Vinyl Cutting","",""
"99","Volunteer Opportunities","",""
"32","Welding","",""
"91","Wood Turning","",""
"63","Woodworking","",""
