"INNO_TABLE_NAME","WEBSERVER_CONTROLLER_PN","OTHER_PN","OTHER_PN_TYPE"
"categories_events","../src/Controller/EventsController.php","../tests/Fixture/CategoriesEventsFixture.php","INNODB_COLUMNS"
"categories","../src/Controller/CategoriesController.php","../tests/Fixture/CategoriesFixture.php","INNODB_COLUMNS"
"committees","../src/Controller/CommitteesController.php","../tests/Fixture/CommitteesFixture.php","INNODB_COLUMNS"
"committees","../src/Controller/CommitteesController.php","../dms-ad-openldap/04-committees.ldif","AD_LDIF"
"config","../src/Controller/EventsController.php","../tests/Fixture/ConfigFixture.php","INNODB_COLUMNS"
"configurations","../src/Controller/ConfigurationsController.php","../tests/Fixture/ConfigurationsFixture.php","INNODB_COLUMNS"
"contacts","../src/Controller/ContactsController.php","../tests/Fixture/ContactsFixture.php","INNODB_COLUMNS"
"events","../src/Controller/EventsController.php","../tests/Fixture/EventsFixture.php","INNODB_COLUMNS"
"events_tools","../src/Controller/EventsController.php","../tests/Fixture/EventsToolsFixture.php","INNODB_COLUMNS"
"files","../src/Controller/FilesController.php","../tests/Fixture/FilesFixture.php","INNODB_COLUMNS"
"files","../src/Controller/FilesController.php","../webroot/","WEBROOT_FS_BLOB"
"honoraria","../src/Controller/HonorariaController.php","../tests/Fixture/HonorariaFixture.php","INNODB_COLUMNS"
"prerequisites","../src/Controller/PrerequisitesController.php","../tests/Fixture/PrerequisitesFixture.php","INNODB_COLUMNS"
"registrations","../src/Controller/RegistrationsController.php","../tests/Fixture/RegistrationsFixture.php","INNODB_COLUMNS"
"rooms","../src/Controller/RoomsController.php","../tests/Fixture/RoomsFixture.php","INNODB_COLUMNS"
"tools","../src/Controller/ToolsController.php","../tests/Fixture/ToolsFixture.php","INNODB_COLUMNS"
"w9s","../src/Controller/EventsController.php","../tests/Fixture/W9sFixture.php","INNODB_COLUMNS"
"","../src/Controller/AppController.php","../dms-ad-openldap/05-securitygroups.ldif","AD_LDIF"
"","../src/Controller/CalendarAdminController.php","../dms-ad-openldap/05-securitygroups.ldif","AD_LDIF"
"","../src/Controller/LogsController.php","../dms-ad-openldap/05-securitygroups.ldif","AD_LDIF"
"","../src/Controller/LogsController.php","../logs/","LOGS_FS_BLOB"
"honoraria","../src/Controller/HonorariaController.php","../tests/Fixture/HonorariaFixture.php","INNODB_COLUMNS"
"","../src/Controller/PagesController.php","","PURE_WEBSERVER_CONTROLLER_GENERIC_CAKE"
"","../src/Controller/UsersController.php","../dms-ad-openldap/03-users.ldif","AD_LDIF"
