"id","name","exclusive","created","modified"
"64","Animatronics Workshop","","",""
"8","Classroom - Interactive","","",""
"9","Classroom - Lecture Hall","","",""
"28","Classroom - North Lobby","","",""
"11","Classroom - Purple","","",""
"39","Common Area -  Common Room","","",""
"2","Common Area - Back Parking Lot","","",""
"24","Common Area - Galley","","",""
"36","Common Area - North Flex Area","","",""
"38","Common Area - North Lobby","","",""
"27","Common Area - South Lobby","","",""
"68","Computer Lab","","",""
"75","Information Technology Space","","",""
"69","Lab - Darkroom","","",""
"56","Lab - Digital Media","","",""
"45","Lab - Electronics","","",""
"53","Lab - Science - Biology","","",""
"46","Lab - Science - Chemistry","","",""
"16","Laser - Thunder","","",""
"23","Offsite (See Event Description)","","",""
"58","Online Only","","",""
"66","Sewing Studio - Worktable Short","","",""
"54","Sewing Studio - Worktable Tall","","",""
"5","Studio - Creative Arts ","","",""
"55","Studio - Creative Arts - Digital Arts","","",""
"52","Studio - Creative Arts - Island","","",""
"72","The Quest Hub (North Lobby) - Game Room","","",""
"1","Workshop - 3D Fabrication","","",""
"14","Workshop - Auto Bay A - Floor","","",""
"70","Workshop - Auto Bay B - 4 Post","","",""
"31","Workshop - Auto Bay C - 2 Post","","",""
"71","Workshop - Auto Bay M - Motorcycles","","",""
"62","Workshop - Blacksmithing","","",""
"63","Workshop - Ceramics &amp; Jewelry Flex","","",""
"25","Workshop - Ceramics Main Area","","",""
"15","Workshop - Foundry","","",""
"48","Workshop - GlassWorks","","",""
"65","Workshop - Hot GlassWorks","","",""
"26","Workshop - Jewelry / Small Metals","","",""
"73","Workshop - Jewelry / Small Metals - Large High-top Work Table","","",""
"74","Workshop - Jewelry / Small Metals - Small Low-top Work Table","","",""
"59","Workshop - Laser - Epilog Fusion","","",""
"30","Workshop - Laser - Epilog Zing","","",""
"17","Workshop - Machine Shop","","",""
"10","Workshop - Metalworking","","",""
"21","Workshop - Open Table Area Central","","",""
"20","Workshop - Open Table Area North (Woodworking Only)","","",""
"22","Workshop - Open Table Area South","","",""
"49","Workshop - Printmaking","","",""
"47","Workshop - VECTOR","","",""
"12","Workshop - Woodworking (Excludes Lathe and Multicam)","","",""
"29","Workshop - Woodworking - Lathes (Excludes Multicam and Woodworking)","","",""
"61","Workshop - Woodworking - Multicam (Excludes Lathes and Woodworking)","","",""
"13","Workshop(Historical) Do Not Use","","",""
