"id","name","created","modified"
"84","001 - No Tool Reservation Required","",""
"106","002 - No Tool Reservation Required","",""
"91","3D Lab -  CR-30 Treadmill Printer","",""
"90","3D Lab - Bambu X1 Carbon","",""
"42","3D Lab - PolyPrinter","",""
"32","Automotive - Lift","",""
"55","Blacksmithing - Induction Forge","",""
"38","Ceramics - Clay Slab Roller","",""
"104","Ceramics - Eazao Zero Ceramic 3D Printer","",""
"36","Ceramics - Pottery Wheels","",""
"107","Creality RaptorX 3D Scanner","",""
"45","Creative Arts - Dye Sub/Heat Press","",""
"49","Creative Arts - Fiber Tools","",""
"2","Creative Arts - Leather Sewing Machine &#039;Thor&#039;","",""
"52","Creative Arts - Metaza Engraver","",""
"77","Creative Arts - Pressure Pot","",""
"70","Creative Arts - Silhouette Cameo","",""
"78","Creative Arts - Vacuum Chamber","",""
"4","Creative Arts - Vinyl Cutter","",""
"92","Digital Media - Canon T2i Camera","",""
"93","Digital Media - GoPro","",""
"8","Digital Media - Sony Camera","",""
"46","Electronics - National Instruments Virtual Bench","",""
"44","Electronics - Workbench tools","",""
"105","eufyMake E1 UV Printer","",""
"61","Glassworks - Microwave Oven","",""
"40","Jewelry - Casting Equipment","",""
"60","Jewelry - Hand Tools","",""
"58","Jewelry - HydroFlux Torch","",""
"100","Jewelry - Jewelers Bench 1","",""
"101","Jewelry - Jewelers Bench 2","",""
"102","Jewelry - Jewelers Bench 3","",""
"98","Jewelry - Large High-top Work Table","",""
"59","Jewelry - Rolling Mill","",""
"103","Jewelry - Setting Bench","",""
"99","Jewelry - Small Low-top Work Table","",""
"83","Jewelry - Wax Resin Printer","",""
"5","Large Format Photo Printer","",""
"80","Laser - Epilog Fusion","",""
"71","Laser - Epilog Zing","",""
"43","Laser - Thunder","",""
"23","Logistics - Power Hand Tools","",""
"34","Machine Shop - Bridgeport Mill","",""
"35","Machine Shop - Colchester Metal Lathe","",""
"87","Machine Shop - GEKA Ironworker","",""
"33","Machine Shop - HAAS VF2 CNC Mill","",""
"82","Machine Shop - Shapeoko 3 XXL","",""
"54","Machine Shop - Sherline Lathe","",""
"53","Machine Shop - Sherline Mill","",""
"68","Metal Shop - Bench Grinders","",""
"27","Metal Shop - CNC Plasma Cutter","",""
"64","Metal Shop - Flux Core Welder","",""
"65","Metal Shop - Heat Treating Kiln","",""
"69","Metal Shop - Large Buffer","",""
"66","Metal Shop - Large Oven","",""
"28","Metal Shop - Media Blaster","",""
"24","Metal Shop - MIG welder","",""
"88","Metal Shop - PEXTO Power Shear","",""
"67","Metal Shop - Sheet Metal Forming Tools","",""
"26","Metal Shop - Stick Welder","",""
"25","Metal Shop - TIG Welder","",""
"63","Metal Shop - Tubing Bender","",""
"57","North Lobby Portable TV","",""
"56","PIG SIG - Vacuum Former","",""
"85","Printmaking - Letterpress","",""
"95","Science - Fume Hood","",""
"1","Sewing - Babylock Zest","",""
"89","Sewing - BGMC &#039;Freya&#039;","",""
"48","Sewing - Brother Serger 0134d","",""
"3","Sewing - Husqvarna Embroidery","",""
"97","Sewing - Juki 8000a","",""
"94","Sewing - Pfaff &#039;Brunhilda&#039;","",""
"81","Streaming Cart","",""
"47","Woodshop - Large Tools","",""
"51","Woodshop - Lathes","",""
"20","Woodshop - Multicam CNC Router","",""
"86","Woodshop - Slab Mill","",""
"96","Woodshop - Tabletop CNC Router (X-Carve)","",""
